,timestamp,x,y,z,q_x,q_y,q_z,q_w
0,0000,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
1,0001,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
2,0002,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
3,0003,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
4,0004,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
5,0005,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
6,0006,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
7,0007,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
8,0008,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
9,0009,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
10,0010,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
11,0011,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
12,0012,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
13,0013,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
14,0014,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
15,0015,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
16,0016,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
17,0017,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
18,0018,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
19,0019,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
20,0020,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
21,0021,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
22,0022,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
23,0023,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
24,0024,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
25,0025,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
26,0026,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
27,0027,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
28,0028,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
29,0029,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
30,0030,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
31,0031,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
32,0032,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
33,0033,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
34,0034,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
35,0035,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
36,0036,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
37,0037,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
38,0038,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
39,0039,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
40,0040,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
41,0041,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
42,0042,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
43,0043,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
44,0044,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
45,0045,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
46,0046,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
47,0047,2,2,0.35,0.2705980500730985,0.6532814824381882,0.6532814824381883,0.27059805007309856
