,timestamp,x,y,z,q_x,q_y,q_z,q_w
0,0000,-2,2,0.35,0.7071067811865475,0.0,0.0,0.7071067811865476
1,0001,-2,2,0.35,0.705592811289523,-0.046246996189454256,-0.04624699618945426,0.7055928112895231
2,0002,-2,2,0.35,0.7010573846499778,-0.09229595564125724,-0.09229595564125725,0.7010573846499779
3,0003,-2,2,0.35,0.6935199226610737,-0.13794968964147147,-0.1379496896414715,0.6935199226610738
4,0004,-2,2,0.35,0.6830127018922193,-0.1830127018922193,-0.18301270189221933,0.6830127018922194
5,0005,-2,2,0.35,0.6695807158758448,-0.22729202565684345,-0.2272920256568435,0.6695807158758449
6,0006,-2,2,0.35,0.6532814824381882,-0.27059805007309845,-0.2705980500730985,0.6532814824381883
7,0007,-2,2,0.35,0.6341847973991336,-0.312745332095972,-0.31274533209597205,0.6341847973991337
8,0008,-2,2,0.35,0.6123724356957945,-0.3535533905932737,-0.35355339059327373,0.6123724356957946
9,0009,-2,2,0.35,0.5879378012096793,-0.392847479193551,-0.39284747919355106,0.5879378012096794
10,0010,-2,2,0.35,0.560985526796931,-0.4304593345768793,-0.43045933457687935,0.5609855267969311
11,0011,-2,2,0.35,0.5316310262343732,-0.4662278970042302,-0.46622789700423023,0.5316310262343733
12,0012,-2,2,0.35,0.5,-0.4999999999999999,-0.5,0.5000000000000001
13,0013,-2,2,0.35,0.46622789700423023,-0.5316310262343732,-0.5316310262343732,0.46622789700423034
14,0014,-2,2,0.35,0.4304593345768794,-0.5609855267969309,-0.560985526796931,0.43045933457687946
15,0015,-2,2,0.35,0.3928474791935512,-0.5879378012096792,-0.5879378012096793,0.39284747919355123
16,0016,-2,2,0.35,0.3535533905932738,-0.6123724356957945,-0.6123724356957946,0.35355339059327384
17,0017,-2,2,0.35,0.31274533209597216,-0.6341847973991336,-0.6341847973991336,0.3127453320959722
18,0018,-2,2,0.35,0.2705980500730985,-0.6532814824381882,-0.6532814824381883,0.27059805007309856
19,0019,-2,2,0.35,0.22729202565684356,-0.6695807158758447,-0.6695807158758448,0.22729202565684362
20,0020,-2,2,0.35,0.18301270189221944,-0.6830127018922192,-0.6830127018922193,0.18301270189221946
21,0021,-2,2,0.35,0.13794968964147153,-0.6935199226610737,-0.6935199226610738,0.13794968964147156
22,0022,-2,2,0.35,0.09229595564125734,-0.7010573846499778,-0.7010573846499779,0.09229595564125735
23,0023,-2,2,0.35,0.0462469961894544,-0.705592811289523,-0.7055928112895231,0.04624699618945441
24,0024,-2,2,0.35,4.329780281177466e-17,-0.7071067811865475,-0.7071067811865476,4.329780281177467e-17
25,0025,-2,2,0.35,-0.04624699618945416,-0.705592811289523,-0.7055928112895231,-0.046246996189454166
26,0026,-2,2,0.35,-0.0922959556412571,-0.7010573846499779,-0.701057384649978,-0.09229595564125712
27,0027,-2,2,0.35,-0.13794968964147128,-0.6935199226610738,-0.6935199226610739,-0.1379496896414713
28,0028,-2,2,0.35,-0.18301270189221922,-0.6830127018922193,-0.6830127018922194,-0.18301270189221924
29,0029,-2,2,0.35,-0.22729202565684334,-0.6695807158758448,-0.6695807158758449,-0.22729202565684337
30,0030,-2,2,0.35,-0.2705980500730983,-0.6532814824381883,-0.6532814824381884,-0.27059805007309834
31,0031,-2,2,0.35,-0.3127453320959719,-0.6341847973991336,-0.6341847973991337,-0.31274533209597194
32,0032,-2,2,0.35,-0.35355339059327356,-0.6123724356957945,-0.6123724356957946,-0.3535533905932736
33,0033,-2,2,0.35,-0.39284747919355084,-0.5879378012096794,-0.5879378012096795,-0.39284747919355095
34,0034,-2,2,0.35,-0.4304593345768791,-0.5609855267969311,-0.5609855267969311,-0.43045933457687924
35,0035,-2,2,0.35,-0.46622789700422995,-0.5316310262343734,-0.5316310262343735,-0.46622789700423
36,0036,-2,2,0.35,-0.4999999999999999,-0.5,-0.5000000000000001,-0.5
37,0037,-2,2,0.35,-0.5316310262343732,-0.46622789700423023,-0.46622789700423034,-0.5316310262343732
38,0038,-2,2,0.35,-0.5609855267969309,-0.4304593345768795,-0.4304593345768796,-0.5609855267969309
39,0039,-2,2,0.35,-0.5879378012096792,-0.3928474791935513,-0.39284747919355134,-0.5879378012096792
40,0040,-2,2,0.35,-0.6123724356957944,-0.35355339059327395,-0.353553390593274,-0.6123724356957945
41,0041,-2,2,0.35,-0.6341847973991335,-0.31274533209597233,-0.31274533209597233,-0.6341847973991336
42,0042,-2,2,0.35,-0.6532814824381882,-0.27059805007309856,-0.2705980500730986,-0.6532814824381883
43,0043,-2,2,0.35,-0.6695807158758447,-0.22729202565684362,-0.22729202565684364,-0.6695807158758448
44,0044,-2,2,0.35,-0.6830127018922192,-0.1830127018922195,-0.18301270189221952,-0.6830127018922193
45,0045,-2,2,0.35,-0.6935199226610737,-0.13794968964147172,-0.13794968964147175,-0.6935199226610738
46,0046,-2,2,0.35,-0.7010573846499778,-0.09229595564125753,-0.09229595564125755,-0.7010573846499779
47,0047,-2,2,0.35,-0.705592811289523,-0.04624699618945461,-0.04624699618945462,-0.7055928112895231
